1	0.6016	0.3312	0.02719
2	0.2443	0.7386	0.4752
3	0.03123	0.1551	0.8372
4	0.6681	0.6176	0.4934
5	0.3817	0.3099	0.2329
6	0.7456	0.6161	0.8035
7	0.7264	0.7082	0.4943
8	0.4236	0.8177	0.7734
9	0.959	0.1522	0.5616
10	0.2505	0.8411	0.6837
11	0.9357	0.3852	0.9949
12	0.3167	0.8943	0.6251
13	0.9921	0.1581	0.9839
14	0.9157	0.1701	0.2903
15	0.98	0.05771	0.05249
16	0.79	0.06803	0.08952
17	0.7274	0.7479	0.4584
18	0.959	0.7485	0.3375
19	0.6597	0.07821	0.5996
20	0.1363	0.402	0.6912
21	0.1184	0.8541	0.663
22	0.9606	0.8639	0.5369
23	0.7197	0.3827	0.7834
24	0.9146	0.3304	0.1947
25	0.8617	0.7454	0.4802
26	0.3528	0.1911	0.6869
27	0.8066	0.9266	0.732
28	0.2574	0.9873	0.1123
29	0.4896	0.2166	0.05149
30	0.5845	0.4328	0.6615
31	0.0594	0.2754	0.8176
32	0.8125	0.02045	0.9707
33	0.8009	0.5172	0.3549
34	0.7118	0.113	0.4899
35	0.07155	0.4502	0.9137
36	0.9243	0.2358	0.8106
37	0.3613	0.5754	0.7495
38	0.6559	0.6784	0.6918
39	0.1648	0.8315	0.2486
40	0.6047	0.8216	0.4212
41	0.3102	0.8083	0.5586
42	0.2171	0.2831	0.5929
43	0.07987	0.2866	0.7759
44	0.4717	0.06548	0.5717
45	0.5608	0.2668	0.7189
46	0.2378	0.8172	0.3168
47	0.762	0.6657	0.7049
48	0.8107	0.9975	0.9204
49	0.9621	0.2912	0.8299
50	0.3536	0.6454	0.6799
51	0.3461	0.4724	0.6581
52	0.03544	0.9509	0.7633
53	0.726	0.5523	0.1835
54	0.6338	0.8692	0.0242
55	0.7221	0.6885	0.2828
56	0.01081	0.8837	0.3302
57	0.6176	0.1357	0.01362
58	0.1174	0.8901	0.7828
59	0.03962	0.9702	0.7845
60	0.1751	0.8142	0.3821
61	0.9355	0.2495	0.561
62	0.1394	0.06385	0.4866
63	0.9391	0.05512	0.3403
64	0.5986	0.805	0.3922
65	0.1135	0.9382	0.3148
66	0.3596	0.0724	0.7999
67	0.5897	0.9277	0.2058
68	0.7609	0.01614	0.7627
69	0.5579	0.9435	0.1841
70	0.02541	0.3346	0.1376
71	0.5401	0.9495	0.3104
72	0.5579	0.08707	0.669
73	0.9465	0.1807	0.2338
74	0.1638	0.217	0.5447
75	0.7816	0.5736	0.592
76	0.6136	0.5167	0.2534
77	0.8209	0.3518	0.3201
78	0.06349	0.6665	0.94
79	0.6565	0.2349	0.19
80	0.6423	0.383	0.7373
81	0.00386	0.1972	0.2361
82	0.3471	0.837	0.5254
83	0.8478	0.6382	0.9458
84	0.5478	0.7486	0.2994
85	0.7842	0.8178	0.4341
86	0.2141	0.2811	0.9513
87	0.5371	0.9891	0.4812
88	0.2471	0.3317	0.5378
89	0.7767	0.1449	0.1258
90	0.5354	0.5773	0.4242
91	0.2272	0.214	0.7716
92	0.4337	0.9144	0.1826
93	0.9781	0.01106	0.3549
94	0.9644	0.5108	0.4073
95	0.2183	0.702	0.1984
96	0.8364	0.09746	0.4761
97	0.8448	0.2834	0.2933
98	0.4742	0.3624	0.2188
99	0.7155	0.9768	0.5989
100	0.4036	0.3688	0.2762
